edicao,linguagens,humanas,redacao,matematica,natureza,total,melhora_linguagens,melhora_humanas,melhora_matematica,melhora_natureza
ENEM 2009,34,37,960,29,31,131,,,,
ENEM 2010,36,30,1000,40,28,134,,,,
ENEM 2011,38,35,920,42,32,147,,,,
ENEM 2012,,,,41,,,,,,
ENEM 2013,36,39,960,40,32,147,1,0,10,-1
ENEM 2014,32,35,960,42,31,140,,,,
ENEM 2015,38,36,960,38,30,142,0,-1,2,-2
ENEM 2016,28,32,1000,42,,,-4,0,5,
ENEM 2016/2,39,30,920,38,37,144,6,6,-1,7
ENEM 2017,37,32,960,39,36,144,6,-3,4,4
ENEM 2018,34,36,920,40,37,147,-1,1,7,12
ENEM 2019,38,34,920,32,30,134,5,3,6,-3
ENEM 2020,31,32,1000,42,40,145,1,4,5,4
ENEM 2009 PPL,,,,39,,,,,,
ENEM 2010 PPL,,,,40,,,,,,
ENEM 2011 PPL,,,,44,,,,,,
ENEM 2012 PPL,,,,,,,,,,
ENEM 2013 PPL,,,,,,,,,,
ENEM 2014 PPL,,,,42,,,,,5,
ENEM 2015 PPL,,,,40,,,,,,
ENEM 2016 PPL,38,36,1000,42,,,5,-2,,
ENEM 2017 PPL,34,35,1000,41,37,147,1,5,4,7
ENEM 2018 PPL,34,37,920,41,37,149,3,3,5,11
ENEM 2019 PPL,34,38,960,,,,7,0,,
ENEM 2020 PPL,35,38,960,40,38,151,,,,
ENEM 2017 LIBRAS,34,38,960,43,31,146,,,,
ENEM 2020 DIGITAL,36,37,960,43,34,150,,,,
